1, n02085620, chihuahua
2, n02085782, japanese_spaniel
3, n02085936, maltese_dog
4, n02086079, pekinese
5, n02086240, shih-tzu
6, n02086646, blenheim_spaniel
7, n02086910, papillon
8, n02087046, toy_terrier
9, n02087394, rhodesian_ridgeback
10, n02088094, afghan_hound
11, n02088238, basset
12, n02088364, beagle
13, n02088466, bloodhound
14, n02088632, bluetick
15, n02089078, black-and-tan_coonhound
16, n02089867, walker_hound
17, n02089973, english_foxhound
18, n02090379, redbone
19, n02090622, borzoi
20, n02090721, irish_wolfhound
21, n02091032, italian_greyhound
22, n02091134, whippet
23, n02091244, ibizan_hound
24, n02091467, norwegian_elkhound
25, n02091635, otterhound
26, n02091831, saluki
27, n02092002, scottish_deerhound
28, n02092339, weimaraner
29, n02093256, staffordshire_bullterrier
30, n02093428, american_staffordshire_terrier
31, n02093647, bedlington_terrier
32, n02093754, border_terrier
33, n02093859, kerry_blue_terrier
34, n02093991, irish_terrier
35, n02094114, norfolk_terrier
36, n02094258, norwich_terrier
37, n02094433, yorkshire_terrier
38, n02095314, wire-haired_fox_terrier
39, n02095570, lakeland_terrier
40, n02095889, sealyham_terrier
41, n02096051, airedale
42, n02096177, cairn
43, n02096294, australian_terrier
44, n02096437, dandie_dinmont
45, n02096585, boston_bull
46, n02097047, miniature_schnauzer
47, n02097130, giant_schnauzer
48, n02097209, standard_schnauzer
49, n02097298, scotch_terrier
50, n02097474, tibetan_terrier
51, n02097658, silky_terrier
52, n02098105, soft-coated_wheaten_terrier
53, n02098286, west_highland_white_terrier
54, n02098413, lhasa
55, n02099267, flat-coated_retriever
56, n02099429, curly-coated_retriever
57, n02099601, golden_retriever
58, n02099712, labrador_retriever
59, n02099849, chesapeake_bay_retriever
60, n02100236, german_short-haired_pointer
61, n02100583, vizsla
62, n02100735, english_setter
63, n02100877, irish_setter
64, n02101006, gordon_setter
65, n02101388, brittany_spaniel
66, n02101556, clumber
67, n02102040, english_springer
68, n02102177, welsh_springer_spaniel
69, n02102318, cocker_spaniel
70, n02102480, sussex_spaniel
71, n02102973, irish_water_spaniel
72, n02104029, kuvasz
73, n02104365, schipperke
74, n02105056, groenendael
75, n02105162, malinois
76, n02105251, briard
77, n02105412, kelpie
78, n02105505, komondor
79, n02105641, old_english_sheepdog
80, n02105855, shetland_sheepdog
81, n02106030, collie
82, n02106166, border_collie
83, n02106382, bouvier_des_flandres
84, n02106550, rottweiler
85, n02106662, german_shepherd
86, n02107142, doberman
87, n02107312, miniature_pinscher
88, n02107574, greater_swiss_mountain_dog
89, n02107683, bernese_mountain_dog
90, n02107908, appenzeller
91, n02108000, entlebucher
92, n02108089, boxer
93, n02108422, bull_mastiff
94, n02108551, tibetan_mastiff
95, n02108915, french_bulldog
96, n02109047, great_dane
97, n02109525, saint_bernard
98, n02109961, eskimo_dog
99, n02110063, malamute
100, n02110185, siberian_husky
101, n02110627, affenpinscher
102, n02110806, basenji
103, n02110958, pug
104, n02111129, leonberg
105, n02111277, newfoundland
106, n02111500, great_pyrenees
107, n02111889, samoyed
108, n02112018, pomeranian
109, n02112137, chow
110, n02112350, keeshond
111, n02112706, brabancon_griffon
112, n02113023, pembroke
113, n02113186, cardigan
114, n02113624, toy_poodle
115, n02113712, miniature_poodle
116, n02113799, standard_poodle
117, n02113978, mexican_hairless
118, n02115641, dingo
119, n02115913, dhole
120, n02116738, african_hunting_dog
